drug_name,num_prescriber,total_cost
ESBRIET,11,3675830
LEVEMIR,276,3672557
EXELON,224,3628368
COMBIVENT RESPIMAT,417,3501022
FENOFIBRATE,1545,3435129
FORTEO,49,3392887
PREZISTA,46,3389817
JANUMET,292,3368669
XTANDI,21,3352834
ISENTRESS,56,3309607
CLOBETASOL PROPIONATE,366,3306787
VIMPAT,109,3255695
LUMIGAN,265,3255692
AFINITOR,16,3241212
TARCEVA,22,3189377
BENICAR,462,3101654
HUMIRA,31,3089734
INVOKANA,235,3048566
CREON,150,3040470
FENTANYL,662,3019968
TASIGNA,18,3016240
HUMALOG,281,2996966
AUBAGIO,14,2937325
VALSARTAN,1006,2931377
HYDROXYCHLOROQUINE SULFATE,215,2917833
AVONEX,24,2861687
MORPHINE SULFATE ER,597,2782763
RANEXA,208,2775238
TRAVATAN Z,281,2688871
BYSTOLIC,481,2599066
SIMVASTATIN,2288,2579502
AMLODIPINE BESYLATE,2708,2571076
PREMARIN,458,2556310
REBIF,20,2536603
OMEGA-3 ACID ETHYL ESTERS,402,2511462
REYATAZ,37,2508155
NOVOLOG MIX 70-30 FLEXPEN,135,2505836
LISINOPRIL,2868,2496051
EPZICOM,39,2477246
POMALYST,11,2471925
SPRYCEL,14,2336925
IBRANCE,9,2291686
RALOXIFENE HCL,402,2281071
MYRBETRIQ,187,2266655
VOLTAREN,586,2217793
OXYCODONE HCL,1050,2202419
DIVALPROEX SODIUM ER,369,2174008
RISPERDAL CONSTA,76,2172281
MULTAQ,121,2164751
LETAIRIS,14,2160982
SYNTHROID,962,2148673
CLOPIDOGREL,1930,2104172
ONGLYZA,190,2070513
INVEGA,83,2053088
LOSARTAN POTASSIUM,2124,2026732
COMBIGAN,208,1973783
XIFAXAN,58,1968846
STRIBILD,22,1925652
AZOPT,110,1915638
QUETIAPINE FUMARATE,1144,1909673
TRIUMEQ,21,1881412
AZILECT,70,1870012
TIVICAY,28,1844212
WELCHOL,173,1793387
DONEPEZIL HCL,1224,1790026
WARFARIN SODIUM,1721,1778859
DULERA,191,1727385
PANTOPRAZOLE SODIUM,2049,1714298
ORENCIA,18,1712424
OFEV,9,1709763
LINZESS,184,1690028
METFORMIN HCL,2144,1680274
PATADAY,181,1678043
OPSUMIT,8,1673879
ALPHAGAN P,156,1643059
AVODART,234,1627884
VYTORIN,216,1627104
BENICAR HCT,260,1621403
SUBOXONE,81,1599830
COMPLERA,20,1597520
NEXAVAR,11,1592160
FLUTICASONE PROPIONATE,1927,1554835
NORVIR,52,1544913
VOTRIENT,8,1541250
ZOSTAVAX,149,1532438
OLYSIO,1,1529611
AMITIZA,193,1512161
EFFIENT,138,1476242
CINRYZE,2,1453987
ULORIC,189,1432743
LUMIZYME,1,1423735
VIREAD,48,1418336
FLOVENT HFA,247,1378991
ESOMEPRAZOLE MAGNESIUM,276,1377031
METOPROLOL TARTRATE,2360,1375202
TIKOSYN,29,1368119
METFORMIN HCL ER,958,1354441
LOPERAMIDE,103,1348596
MONTELUKAST SODIUM,1422,1336610
PREDNISOLONE ACETATE,201,1325718
METHOTREXATE,253,1322348
FUROSEMIDE,2436,1304920
ALLOPURINOL,1516,1290301
ENOXAPARIN SODIUM,168,1286000
OXYBUTYNIN CHLORIDE ER,734,1284004
CLOZAPINE,170,1270935
OPANA ER,53,1260840
REMICADE,4,1246966
XENAZINE,11,1242022
PROLASTIN C,10,1230285
VENTOLIN HFA,756,1229795
DOXYCYCLINE HYCLATE,748,1226485
BUPROPION XL,809,1221852
BD ULTRA-FINE PEN NEEDLE,757,1219609
GAMUNEX-C,8,1197641
PRISTIQ ER,178,1196384
DIVALPROEX SODIUM,571,1190579
HUMALOG MIX 75-25 KWIKPEN,66,1188181
TOLTERODINE TARTRATE ER,256,1170891
AGGRENOX,145,1170410
NASONEX,214,1156463
NOVOLOG MIX 70-30,104,1153295
CARVEDILOL,1931,1146540
ANDROGEL,73,1142676
URSODIOL,118,1139588
CIMZIA,19,1120908
LATANOPROST,574,1119675
VALSARTAN-HYDROCHLOROTHIAZIDE,786,1119177
NUEDEXTA,69,1115042
ESCITALOPRAM OXALATE,1429,1115025
XELJANZ,16,1112868
SUTENT,7,1112370
ALPRAZOLAM,1786,1097167
SANTYL,114,1095803
DICLOFENAC SODIUM,543,1092077
NIACIN ER,269,1087640
SERTRALINE HCL,1887,1069600
LEVETIRACETAM,723,1060470
QVAR,227,1051692
VICTOZA 2-PAK,94,1048977
ECONAZOLE NITRATE,130,1047769
OLANZAPINE,552,1046560
VENLAFAXINE HCL ER,1036,1046454
KEPPRA,30,1034230
ENALAPRIL MALEATE,900,1033118
TOVIAZ,149,1020862
ADVAIR HFA,116,1014670
GLUMETZA,11,1006627
RAVICTI,1,990143
XYREM,6,989145
BREO ELLIPTA,111,988352
TRAMADOL HCL,2145,984805
AMPYRA,13,982121
HYDROCHLOROTHIAZIDE,2184,954633
LIALDA,69,953776
HUMULIN 70-30,166,937767
FLUOXETINE HCL,1407,936206
BRIMONIDINE TARTRATE,230,932276
FINASTERIDE,943,924789
PROCRIT,32,914323
MIRTAZAPINE,1085,907646
FENTORA,2,903196
TIZANIDINE HCL,752,897653
ZOLPIDEM TARTRATE,1621,896862
COLCRYS,179,886836
HUMULIN R U-500,24,886222
REBIF REBIDOSE,9,883919
BUDESONIDE EC,56,872275
TRAZODONE HCL,1803,871365
ABILIFY MAINTENA,24,870343
RAPAFLO,84,867527
ATENOLOL,1805,862379
VIEKIRA PAK,2,856314
RANITIDINE HCL,1413,853866
FOSRENOL,30,848427
ISOSORBIDE MONONITRATE ER,1103,839092
NIFEDIPINE ER,680,831388
SUBSYS,5,827195
SUSTIVA,32,820864
DOXAZOSIN MESYLATE,692,817686
NOVOLIN 70-30,143,812501
ZIPRASIDONE HCL,193,809746
AMLODIPINE BESYLATE-BENAZEPRIL,587,808454
LIDOCAINE-PRILOCAINE,130,803947
INTELENCE,23,799596
BRILINTA,103,797717
PREDNISONE,2279,793848
JANUMET XR,84,791836
DIOVAN,164,781641
JUXTAPID,2,779648
SAPHRIS,48,778624
LOSARTAN-HYDROCHLOROTHIAZIDE,1178,777985
DIGOXIN,584,777854
CARBIDOPA-LEVODOPA,486,775504
LANSOPRAZOLE,565,775182
GLIMEPIRIDE,1013,773337
BETASERON,7,772198
PIOGLITAZONE HCL,598,765594
BACLOFEN,825,765585
AMITRIPTYLINE HCL,1125,764346
VALGANCICLOVIR HCL,12,760001
PROLIA,27,759838
LORAZEPAM,1682,759033
EXEMESTANE,59,758555
TUDORZA PRESSAIR,94,750276
PAROXETINE HCL,1190,746947
OXYBUTYNIN CHLORIDE,739,745291
SPIRIVA RESPIMAT,65,744466
VIGAMOX,53,736241
AZOR,98,724483
ILEVRO,38,719452
ASACOL HD,53,717796
DALIRESP,119,714250
POLYETHYLENE GLYCOL 3350,782,710409
CITALOPRAM HBR,1703,701727
HUMULIN N,135,701341
KALETRA,23,696547
HYDRALAZINE HCL,890,695326
COLCHICINE,195,695051
CALCIUM ACETATE,137,691607
LOTEMAX,78,683103
MEMANTINE HCL,296,678104
CARBAMAZEPINE,333,673353
RISPERIDONE,726,673085
STELARA,3,664926
BYDUREON PEN,42,664011
ELMIRON,31,655141
BANZEL,8,653749
PATANOL,97,650250
CHLORPROMAZINE HCL,69,646295
LAMICTAL,30,636276
KUVAN,1,634647
PENTASA,41,634194
MODAFINIL,65,632720
ALENDRONATE SODIUM,1386,631150
LOVASTATIN,1105,626993
LIDODERM,51,623536
DILTIAZEM 24HR ER,431,610660
CLOMIPRAMINE HCL,50,603735
CLONIDINE,180,601841
SABRIL,1,600452
DIGOX,488,592203
FLUOCINONIDE,196,589523
AZITHROMYCIN,1795,585236
CLONAZEPAM,1459,584995
ERIVEDGE,1,579355
DUREZOL,44,575716
ZEMAIRA,4,573896
METRONIDAZOLE,441,570930
TRIAMCINOLONE ACETONIDE,921,565767
FERRIPROX,1,565074
PROPRANOLOL HCL ER,301,560304
CUBICIN,10,556354
FANAPT,17,544326
BYDUREON,39,539629
LISINOPRIL-HYDROCHLOROTHIAZIDE,1386,539020
CYCLOBENZAPRINE HCL,1018,531327
BUTRANS,58,517928
XALKORI,3,514083
MELOXICAM,1486,504754
GAMMAGARD LIQUID,4,503448
HUMALOG MIX 75-25,44,503438
EXJADE,4,503104
NOVOLIN R,120,497140
ADEMPAS,4,497015
SPIRONOLACTONE,1278,494023
TRIAMTERENE-HYDROCHLOROTHIAZID,1018,488703
PHENYTOIN SODIUM EXTENDED,468,485125
CARAFATE,99,482309
SOLIRIS,1,481259
SIMPONI,6,481181
KLOR-CON M20,628,479892
BYETTA,51,478973
IBANDRONATE SODIUM,239,477100
ROPINIROLE HCL,706,476538
TIMOLOL MALEATE,305,476159
BUPROPION HCL SR,634,473688
PROSOL,20,473321
CARTIA XT,534,473065
DILTIAZEM 24HR CD,533,470748
KOMBIGLYZE XR,57,469027
INSULIN SYRINGE,715,465502
FENOFIBRIC ACID,176,463917
METHYLPREDNISOLONE,770,463365
RIVASTIGMINE,128,461396
AZELASTINE HCL,224,461301
NUVIGIL,25,458443
ESTRACE,85,455653
KETOCONAZOLE,384,454151
RAMIPRIL,701,453118
FLUOROURACIL,81,452981
BUSPIRONE HCL,732,451696
ENTECAVIR,19,451430
VAGIFEM,79,450166
ATROVENT HFA,80,446107
LABETALOL HCL,394,441551
NEUPOGEN,8,440218
NOVOLIN N,108,435841
NEUPRO,29,432828
LEVOFLOXACIN,1245,427983
AMIODARONE HCL,551,424704
CIPROFLOXACIN HCL,1770,417889
DEXTROAMPHETAMINE-AMPHET ER,110,416663
PLEGRIDY PEN,4,416441
FAMOTIDINE,878,407460
LIVALO,83,407155
SUPREP,76,407032
CHLORTHALIDONE,389,407031
POTASSIUM CITRATE ER,93,405126
DEXTROAMPHETAMINE-AMPHETAMINE,231,405035
APRISO,39,403429
BUMETANIDE,315,401783
VERAPAMIL ER,674,400557
AMOXICILLIN-CLAVULANATE POTASS,1071,400239
HUMULIN R,119,400029
ARANESP,14,397995
LEFLUNOMIDE,63,397745
GLIPIZIDE,1094,396281
PRAMIPEXOLE DIHYDROCHLORIDE,471,394627
CARBIDOPA-LEVODOPA-ENTACAPONE,40,390088
NITROFURANTOIN MONO-MACRO,461,389708
IBUPROFEN,1398,386974
GATTEX,1,385981
CLOTRIMAZOLE-BETAMETHASONE,341,385547
BUDESONIDE,49,385354
CARBAMAZEPINE ER,131,383560
TACROLIMUS,47,380834
SILDENAFIL,29,380639
LAMOTRIGINE,604,377069
CALCIPOTRIENE,35,374862
VALACYCLOVIR,439,373583
ESTRADIOL,506,371783
MEKINIST,1,370557
ASMANEX,74,367246
TRIBENZOR,63,367107
ENTACAPONE,45,366754
DORZOLAMIDE-TIMOLOL,208,366341
AMANTADINE,133,365529
CIALIS,70,365438
TEMAZEPAM,729,364559
SELZENTRY,14,363027
VANCOMYCIN HCL,89,362838
PERCOCET,11,362172
PROPRANOLOL HCL,666,361462
SUMATRIPTAN SUCCINATE,328,355769
OLANZAPINE ODT,51,351079
DRONABINOL,35,350997
PROLENSA,30,347761
TAMIFLU,88,347399
NYSTATIN,481,347353
VASCEPA,35,344778
CAPRELSA,1,342676
BUPRENORPHINE-NALOXONE,34,341986
TOPIRAMATE,640,341368
BARACLUDE,10,336943
CELEBREX,54,335704
ACETAMINOPHEN-CODEINE,844,335336
JADENU,2,333573
BESIVANCE,23,332539
GLIPIZIDE ER,566,330635
ONFI,13,329766
HALOPERIDOL,265,326727
ACYCLOVIR,427,326209
NEVANAC,28,320783
DESONIDE,80,320698
FARXIGA,39,320279
OXYMORPHONE HCL ER,31,319357
VIIBRYD,75,318352
CEFUROXIME,242,316561
SUCRALFATE,333,315619
CLONIDINE HCL,1063,315032
NITROSTAT,533,312809
BRINTELLIX,40,312333
NADOLOL,169,311720
SOMAVERT,3,309524
ZENPEP,24,309063
ONDANSETRON HCL,536,307579
PROPAFENONE HCL ER,26,303361
OXCARBAZEPINE,258,297155
BENZTROPINE MESYLATE,361,294809
DURAGESIC,12,292772
MECLIZINE HCL,682,290265
COREG CR,61,290142
XOLAIR,5,286751
TOUJEO SOLOSTAR,30,286671
REPAGLINIDE,98,285137
GALANTAMINE HBR,83,283572
HUMULIN N KWIKPEN,23,283138
IRBESARTAN,393,282466
LOVAZA,35,280618
CEREZYME,1,272571
GAMMAPLEX,2,272018
ISOSORBIDE DINITRATE,215,271573
HUMULIN 70/30 KWIKPEN,28,271302
METHADONE HCL,247,269133
BUTALBITAL-ACETAMINOPHEN-CAFFE,216,267406
LUPRON DEPOT,3,266864
METHYLPHENIDATE HCL,168,264797
BENAZEPRIL HCL,827,263818
TOPROL XL,214,263496
HIZENTRA,2,262896
JENTADUETO,26,262811
ICLUSIG,1,262763
ATOVAQUONE,8,261011
CARBIDOPA-LEVODOPA ER,119,260267
CHANTIX,57,260096
FONDAPARINUX SODIUM,11,258521
ALIMTA,1,255727
CAPTOPRIL,101,253902
FLECAINIDE ACETATE,155,253688
JALYN,52,251900
METHENAMINE HIPPURATE,60,251890
NYSTATIN-TRIAMCINOLONE,91,248609
LAMOTRIGINE ER,20,248414
GLASSIA,2,248314
FLUCONAZOLE,678,247555
CEPHALEXIN,1312,247287
AMOXICILLIN,1796,247278
DILTIAZEM ER,290,246613
NUCYNTA,30,245746
DIAZEPAM,949,240833
NAPROXEN,954,238990
METOLAZONE,273,238524
MIDODRINE HCL,144,237474
CALCITRIOL,224,237434
ANORO ELLIPTA,36,237198
RITUXAN,2,235085
PARICALCITOL,30,233966
DELZICOL,28,233753
LAMIVUDINE-ZIDOVUDINE,19,233720
DESOXIMETASONE,46,233553
STRATTERA,35,231473
VENLAFAXINE HCL,295,230467
CICLOPIROX,113,229632
ETODOLAC,120,227915
TOPAMAX,17,225789
HUMALOG MIX 50-50 KWIKPEN,11,223398
KEPPRA XR,13,221617
GEMFIBROZIL,518,220776
GAMMAGARD S-D,2,219834
COUMADIN,116,218008
HERCEPTIN,3,217909
PERPHENAZINE,85,217811
SOTALOL,279,217348
QUINAPRIL HCL,420,216549
INLYTA,1,216219
BETAMETHASONE DIPROPIONATE,126,215171
LEXIVA,9,212986
CHOLESTYRAMINE,111,211163
PILOCARPINE HCL,71,210765
SULFAMETHOXAZOLE-TRIMETHOPRIM,1291,209520
VIAGRA,26,208706
AMLODIPINE-VALSARTAN,82,207250
APOKYN,1,205099
PREVACID,30,204761
LAMICTAL XR,8,204010
METHYLPHENIDATE ER,50,203328
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,6,203011
OXYCODONE HCL ER,14,202438
VYVANSE,40,201952
RENAGEL,11,201809
ATIVAN,7,200303
CEFDINIR,224,199909
RISEDRONATE SODIUM,46,198170
HYDROMORPHONE HCL,274,196245
ANASTROZOLE,157,195415
ALBUTEROL SULFATE,154,195139
OFLOXACIN,119,194609
MUPIROCIN,502,194442
TEKTURNA,59,194426
CIPRODEX,48,194152
ZYPREXA RELPREVV,3,194063
GLIPIZIDE XL,372,192423
SAMSCA,2,190016
BENAZEPRIL-HYDROCHLOROTHIAZIDE,143,188598
PROGRAF,10,188579
SIMBRINZA,44,187848
ROZEREM,44,187623
TEGRETOL XR,47,187028
HYDROMORPHONE ER,14,185377
LACTULOSE,341,185310
TERAZOSIN HCL,621,184855
SAVELLA,43,184276
FELODIPINE ER,195,183402
TORSEMIDE,344,182976
NORDITROPIN FLEXPRO,3,182972
NUCYNTA ER,20,181067
NITROFURANTOIN,194,180753
PROMACTA,1,180686
FLUPHENAZINE DECANOATE,21,178804
ENABLEX,37,178637
DOXEPIN HCL,267,178393
NIFEDICAL XL,268,175872
TOBRAMYCIN-DEXAMETHASONE,82,174737
VELPHORO,7,173437
ABACAVIR,18,173263
ZYDELIG,2,172346
CLINDAMYCIN PHOSPHATE,87,172095
ESTRING,17,171972
IPRATROPIUM-ALBUTEROL,151,171216
GAMMAKED,1,171215
NORTHERA,2,171055
THALOMID,2,169791
KETOROLAC TROMETHAMINE,95,169023
NATEGLINIDE,75,168742
IPRATROPIUM BROMIDE,226,168544
COLESTIPOL HCL,82,167972
MYCOPHENOLATE MOFETIL,76,161097
TOLTERODINE TARTRATE,80,160371
TELMISARTAN,109,159827
ENDOCET,94,159761
LAMIVUDINE,23,158780
ZOLPIDEM TARTRATE ER,118,157986
PRIMIDONE,290,157573
ATELVIA,23,156282
HYDROXYZINE HCL,334,155523
NABUMETONE,223,155360
MOVIPREP,41,154429
OTEZLA,4,154161
PIOGLITAZONE-METFORMIN,42,153534
DIPHENOXYLATE-ATROPINE,247,150863
ROBAXIN,1,150648
CILOSTAZOL,252,150604
APIDRA,14,149473
AZATHIOPRINE,125,148513
LEVOCETIRIZINE DIHYDROCHLORIDE,213,148165
VIMOVO,6,147753
ESZOPICLONE,149,147671
GLIPIZIDE-METFORMIN,80,146901
ARALAST NP,1,146581
LYNPARZA,2,146244
EPIPEN 2-PAK,16,144977
OXANDROLONE,7,144427
PRIVIGEN,2,142889
HYDROCORTISONE,256,142595
PROCTOZONE-HC,66,142095
DILANTIN,105,140516
MYSOLINE,3,140022
CAYSTON,1,139974
CARISOPRODOL,261,139591
ONDANSETRON ODT,293,139257
KLOR-CON M10,267,139054
EFFEXOR XR,21,137584
BUPROPION HCL,213,137295
BISOPROLOL FUMARATE,141,137114
NEULASTA,1,137020
DEPAKOTE,12,136594
EGRIFTA,1,136490
SODIUM PHENYLBUTYRATE,1,136402
LOVENOX,10,135954
AMMONIUM LACTATE,133,135286
TAMOXIFEN CITRATE,119,135184
CYMBALTA,29,134882
CLOZARIL,5,133274
BOSULIF,1,133177
LEUKINE,1,132597
MORPHINE SULFATE,212,132531
EPLERENONE,44,132367
TESTOSTERONE CYPIONATE,105,130137
ERYTHROMYCIN,127,129519
ATENOLOL-CHLORTHALIDONE,223,129449
BALSALAZIDE DISODIUM,33,129444
PHENOBARBITAL,193,128320
OPDIVO,1,128199
TELMISARTAN-HYDROCHLOROTHIAZID,59,128174
DORZOLAMIDE HCL,124,127750
VALCYTE,3,127642
OXYMORPHONE HCL,27,127324
SEREVENT DISKUS,25,126562
ACETAZOLAMIDE,57,126548
NORTRIPTYLINE HCL,428,126284
PYRIDOSTIGMINE BROMIDE,62,125606
OMNITROPE,2,125483
CLOTRIMAZOLE,132,125358
EMTRIVA,10,125238
NYSTOP,148,125089
METAXALONE,31,124943
DUTASTERIDE,25,124869
GLYBURIDE,269,124597
DESMOPRESSIN ACETATE,58,124143
SEROQUEL,14,123953
GRALISE,16,123801
ACTONEL,24,122941
PREMPRO,49,122906
E.E.S. 200,5,122025
HALOPERIDOL DECANOATE,57,121061
ROPINIROLE ER,19,120921
PLAVIX,29,120356
FENTANYL CITRATE,3,120040
HYDROCORTISONE VALERATE,31,119913
PROMETHAZINE HCL,351,119244
FORADIL,26,119137
DEPAKOTE ER,13,118929
FUZEON,2,117215
INVIRASE,6,116321
EXFORGE,30,115547
TRAMADOL HCL-ACETAMINOPHEN,165,115352
DILTIAZEM HCL,299,113997
DICYCLOMINE HCL,468,112388
INTRON A,2,112305
INVANZ,14,111230
FLUOROMETHOLONE,47,111046
NITROGLYCERIN PATCH,162,109508
OMEPRAZOLE-SODIUM BICARBONATE,11,109319
DARAPRIM,1,109183
TROSPIUM CHLORIDE,43,108986
TRANSDERM-SCOP,39,108706
FETZIMA,26,108318
DYMISTA,24,107224
DOXERCALCIFEROL,7,107160
CALCITONIN-SALMON,87,105736
TRULICITY,9,105576
LETROZOLE,97,105531
THIOLA,1,103476
BICALUTAMIDE,94,103005
INVEGA TRINZA,1,102738
DOXYCYCLINE MONOHYDRATE,145,102503
TRAMADOL HCL ER,43,102226
SPIRONOLACTONE-HCTZ,82,101442
GATIFLOXACIN,15,101403
HUMALOG MIX 50-50,6,100373
LIOTHYRONINE SODIUM,104,100118
PULMICORT FLEXHALER,26,100054
XOPENEX HFA,76,99809
METHOCARBAMOL,249,99803
ACITRETIN,6,99086
EXTAVIA,2,98897
MEGESTROL ACETATE,130,98281
LIPITOR,24,96911
CANDESARTAN CILEXETIL,53,96134
ZOVIRAX,7,95917
LEXAPRO,21,95688
DILT-XR,130,95332
ALCOHOL PREP PADS,99,94843
ASPIRIN-DIPYRIDAMOLE ER,23,94485
THEOPHYLLINE ANHYDROUS,161,93874
RISPERDAL,7,93443
EMEND,8,92847
GLUCAGEN,20,92610
CARDIZEM CD,5,92262
PREZCOBIX,2,91609
K-TAB ER,60,91514
SYMLINPEN 120,6,91448
PRAZOSIN HCL,120,91248
JANTOVEN,255,91163
AMLODIPINE-ATORVASTATIN,26,90623
PROPAFENONE HCL,99,90315
TROSPIUM CHLORIDE ER,22,89595
FLUOCINOLONE ACETONIDE,33,88793
PROMETHEGAN,3,88416
NOXAFIL,1,88079
CLINDAMYCIN HCL,487,87915
ZEGERID,4,87772
NOVOFINE AUTOCOVER,46,87766
PENNSAID,3,87730
CARIMUNE NF NANOFILTERED,1,87640
SIROLIMUS,6,87512
RABEPRAZOLE SODIUM,66,87421
DEXTROAMPHETAMINE SULFATE ER,21,87226
BETHANECHOL CHLORIDE,60,86109
DIGITEK,113,85754
AMLODIPINE-VALSARTAN-HCTZ,23,85575
APIDRA SOLOSTAR,11,85338
JARDIANCE,12,85101
TROKENDI XR,7,84732
IMIQUIMOD,29,84703
MESTINON,5,84300
ZONEGRAN,4,84256
GENTAMICIN SULFATE,79,84173
KLOR-CON 10,154,83383
IRBESARTAN-HYDROCHLOROTHIAZIDE,88,82813
EDARBI,26,82716
FLECTOR,10,82654
TESTOSTERONE,15,82580
BOTOX,2,82374
BUPRENORPHINE HCL,21,82247
ACARBOSE,48,81657
MEGACE ES,4,81450
ACTEMRA,3,81291
PROVENTIL HFA,55,80965
MINOCYCLINE HCL,130,79866
CEFPODOXIME PROXETIL,30,79846
AZACITIDINE,1,79404
RELPAX,11,79307
TOBRADEX,17,79149
CEFTRIAXONE,64,79135
METOCLOPRAMIDE HCL,408,79045
APTIOM,5,78896
HYDROXYZINE PAMOATE,180,78520
TANZEUM,10,78429
WELLBUTRIN XL,4,78355
BROVANA,10,78053
COLISTIMETHATE,2,78034
ALFUZOSIN HCL ER,128,77972
EDURANT,4,77500
SPORANOX,1,77328
GLUCAGON EMERGENCY KIT,16,77327
BIDIL,20,77263
VIVITROL,1,77223
SELEGILINE HCL,22,77185
ZONISAMIDE,87,77157
PHENYTOIN,90,77017
BISOPROLOL-HYDROCHLOROTHIAZIDE,229,76790
CEVIMELINE HCL,17,76413
ITRACONAZOLE,6,76172
CLARITHROMYCIN,68,75727
PROGESTERONE,56,75557
AMBIEN,12,75372
FLOVENT DISKUS,25,75279
MERCAPTOPURINE,29,74544
PROTONIX,21,73904
TRETINOIN,21,73769
INTRALIPID,3,73502
DESIPRAMINE HCL,39,73284
HYDROXYUREA,82,72937
SULFASALAZINE,82,71337
AVASTIN,1,71188
TIAGABINE HCL,10,70457
MOXIFLOXACIN HCL,32,70239
ANAGRELIDE HCL,16,70206
METHAZOLAMIDE,9,70041
AMBIEN CR,12,69237
DEXAMETHASONE,165,69104
TAFINLAR,1,68628
DICLOFENAC POTASSIUM,62,68545
TRILEPTAL,7,68197
FAZACLO,5,67986
EVISTA,24,67885
GABITRIL,6,67755
VALPROIC ACID,126,67713
PROZAC,6,67186
RISPERIDONE ODT,19,66857
FLUVOXAMINE MALEATE,86,66790
GEODON,6,66647
LITHIUM CARBONATE,224,66615
AVONEX ADMINISTRATION PACK,1,66416
ZYPREXA,6,65654
PIROXICAM,33,65551
DOCETAXEL,2,64896
ADACEL TDAP,38,64460
VIRACEPT,5,64365
NOVOFINE 32,66,64021
TEGRETOL,18,63970
ACIPHEX,7,63247
ZIOPTAN,17,62934
RILUZOLE,8,62592
CANASA,5,62273
PERMETHRIN,29,61908
LITHIUM CARBONATE ER,117,61358
PROVIGIL,3,61263
CHLORHEXIDINE GLUCONATE,309,61218
SOMATULINE DEPOT,1,61150
BETOPTIC S,11,61039
NEOMYCIN-POLYMYXIN-DEXAMETH,99,61017
VERAPAMIL HCL,114,60652
REVATIO,1,60494
CLORAZEPATE DIPOTASSIUM,101,58863
KADIAN,3,58767
IMITREX,5,58277
DEXTROAMPHETAMINE SULFATE,20,57747
VERAPAMIL ER PM,39,57610
BROMFENAC SODIUM,11,57028
MYFORTIC,2,56816
NITROGLYCERIN,7,56719
RIBAVIRIN,7,56397
METHIMAZOLE,166,56356
EDECRIN,5,56311
OTREXUP,4,56098
PROCTOSOL-HC,57,55901
CELLCEPT,3,55668
PLEGRIDY,1,55461
DIOVAN HCT,18,55356
BETAMETHASONE VALERATE,41,55069
BROMOCRIPTINE MESYLATE,16,54668
BACITRACIN,29,54135
FELBATOL,2,53770
ALVESCO,6,53360
DILTIAZEM 12HR ER,32,53074
DICLOFENAC SODIUM-MISOPROSTOL,26,52488
PENTOXIFYLLINE,103,52158
KETOPROFEN,6,52124
ALREX,13,51957
MISOPROSTOL,35,51866
FELBAMATE,7,51748
TAZTIA XT,90,51511
HECTOROL,1,51120
EDARBYCLOR,15,50460
CLOZAPINE ODT,7,49424
FROVA,4,49288
SILENOR,13,48822
PICATO,2,48341
MOMETASONE FUROATE,79,48158
OLOPATADINE HCL,12,48080
NISOLDIPINE,12,47513
FLUDROCORTISONE ACETATE,118,47349
VORICONAZOLE,3,47075
INDAPAMIDE,116,46931
RAPAMUNE,2,46795
HALOBETASOL PROPIONATE,17,46110
RIZATRIPTAN,68,44968
CLOBETASOL EMOLLIENT,14,44845
ZYPREXA ZYDIS,2,43938
RELISTOR,2,43877
MEDROXYPROGESTERONE ACETATE,125,43356
SILVER SULFADIAZINE,78,42963
SANDIMMUNE,5,42904
FLUPHENAZINE HCL,84,42799
